region,disaggregation,disagg.value,section,adolescent_obesity_2000,adolescent_obesity_2001,adolescent_obesity_2002,adolescent_obesity_2003,adolescent_obesity_2004,adolescent_obesity_2005,adolescent_obesity_2006,adolescent_obesity_2007,adolescent_obesity_2008,adolescent_obesity_2009,adolescent_obesity_2010,adolescent_obesity_2011,adolescent_obesity_2012,adolescent_obesity_2013,adolescent_obesity_2014,adolescent_obesity_2015,adolescent_obesity_2016,adolescent_obesity_2019,adolescent_overweight_2000,adolescent_overweight_2001,adolescent_overweight_2002,adolescent_overweight_2003,adolescent_overweight_2004,adolescent_overweight_2005,adolescent_overweight_2006,adolescent_overweight_2007,adolescent_overweight_2008,adolescent_overweight_2009,adolescent_overweight_2010,adolescent_overweight_2011,adolescent_overweight_2012,adolescent_overweight_2013,adolescent_overweight_2014,adolescent_overweight_2015,adolescent_overweight_2016,adolescent_overweight_2019,adolescent_thinness_2000,adolescent_thinness_2001,adolescent_thinness_2002,adolescent_thinness_2003,adolescent_thinness_2004,adolescent_thinness_2005,adolescent_thinness_2006,adolescent_thinness_2007,adolescent_thinness_2008,adolescent_thinness_2009,adolescent_thinness_2010,adolescent_thinness_2011,adolescent_thinness_2012,adolescent_thinness_2013,adolescent_thinness_2014,adolescent_thinness_2015,adolescent_thinness_2016,adolescent_thinness_2019,adult_anaemia_2000,adult_anaemia_2001,adult_anaemia_2002,adult_anaemia_2003,adult_anaemia_2004,adult_anaemia_2005,adult_anaemia_2006,adult_anaemia_2007,adult_anaemia_2008,adult_anaemia_2009,adult_anaemia_2010,adult_anaemia_2011,adult_anaemia_2012,adult_anaemia_2013,adult_anaemia_2014,adult_anaemia_2015,adult_anaemia_2016,adult_anaemia_2017,adult_anaemia_2018,adult_anaemia_2019,adult_blood_pressure_2000,adult_blood_pressure_2001,adult_blood_pressure_2002,adult_blood_pressure_2003,adult_blood_pressure_2004,adult_blood_pressure_2005,adult_blood_pressure_2006,adult_blood_pressure_2007,adult_blood_pressure_2008,adult_blood_pressure_2009,adult_blood_pressure_2010,adult_blood_pressure_2011,adult_blood_pressure_2012,adult_blood_pressure_2013,adult_blood_pressure_2014,adult_blood_pressure_2015,adult_blood_pressure_2019,adult_diabetes_2000,adult_diabetes_2001,adult_diabetes_2002,adult_diabetes_2003,adult_diabetes_2004,adult_diabetes_2005,adult_diabetes_2006,adult_diabetes_2007,adult_diabetes_2008,adult_diabetes_2009,adult_diabetes_2010,adult_diabetes_2011,adult_diabetes_2012,adult_diabetes_2013,adult_diabetes_2014,adult_diabetes_2019,adult_obesity_2000,adult_obesity_2001,adult_obesity_2002,adult_obesity_2003,adult_obesity_2004,adult_obesity_2005,adult_obesity_2006,adult_obesity_2007,adult_obesity_2008,adult_obesity_2009,adult_obesity_2010,adult_obesity_2011,adult_obesity_2012,adult_obesity_2013,adult_obesity_2014,adult_obesity_2015,adult_obesity_2016,adult_obesity_2019,adult_overweight_2000,adult_overweight_2001,adult_overweight_2002,adult_overweight_2003,adult_overweight_2004,adult_overweight_2005,adult_overweight_2006,adult_overweight_2007,adult_overweight_2008,adult_overweight_2009,adult_overweight_2010,adult_overweight_2011,adult_overweight_2012,adult_overweight_2013,adult_overweight_2014,adult_overweight_2015,adult_overweight_2016,adult_overweight_2019,adult_underweight_2000,adult_underweight_2001,adult_underweight_2002,adult_underweight_2003,adult_underweight_2004,adult_underweight_2005,adult_underweight_2006,adult_underweight_2007,adult_underweight_2008,adult_underweight_2009,adult_underweight_2010,adult_underweight_2011,adult_underweight_2012,adult_underweight_2013,adult_underweight_2014,adult_underweight_2015,adult_underweight_2016,adult_underweight_2019,lbw_2000,lbw_2001,lbw_2002,lbw_2003,lbw_2004,lbw_2005,lbw_2006,lbw_2007,lbw_2008,lbw_2009,lbw_2010,lbw_2011,lbw_2012,lbw_2013,lbw_2014,lbw_2015,overweight_2000,overweight_2005,overweight_2010,overweight_2011,overweight_2012,overweight_2013,overweight_2014,overweight_2015,overweight_2016,overweight_2017,overweight_2018,overweight_2019,overweight_2020,Risk_factor_all-rf_2000,Risk_factor_all-rf_2010,Risk_factor_all-rf_2015,Risk_factor_all-rf_2018,Risk_factor_diet_2000,Risk_factor_diet_2010,Risk_factor_diet_2015,Risk_factor_diet_2018,Risk_factor_fruits_2000,Risk_factor_fruits_2010,Risk_factor_fruits_2015,Risk_factor_fruits_2018,Risk_factor_legumes_2000,Risk_factor_legumes_2010,Risk_factor_legumes_2015,Risk_factor_legumes_2018,Risk_factor_nuts_seeds_2000,Risk_factor_nuts_seeds_2010,Risk_factor_nuts_seeds_2015,Risk_factor_nuts_seeds_2018,Risk_factor_obese_2000,Risk_factor_obese_2010,Risk_factor_obese_2015,Risk_factor_obese_2018,Risk_factor_overweight_2000,Risk_factor_overweight_2010,Risk_factor_overweight_2015,Risk_factor_overweight_2018,Risk_factor_prc_meat_2000,Risk_factor_prc_meat_2010,Risk_factor_prc_meat_2015,Risk_factor_prc_meat_2018,Risk_factor_red_meat_2000,Risk_factor_red_meat_2010,Risk_factor_red_meat_2015,Risk_factor_red_meat_2018,Risk_factor_SSBs_2000,Risk_factor_SSBs_2010,Risk_factor_SSBs_2015,Risk_factor_SSBs_2018,Risk_factor_underweight_2000,Risk_factor_underweight_2010,Risk_factor_underweight_2015,Risk_factor_underweight_2018,Risk_factor_vegetables_2000,Risk_factor_vegetables_2010,Risk_factor_vegetables_2015,Risk_factor_vegetables_2018,Risk_factor_weight_2000,Risk_factor_weight_2010,Risk_factor_weight_2015,Risk_factor_weight_2018,Risk_factor_whole_grains_2000,Risk_factor_whole_grains_2010,Risk_factor_whole_grains_2015,Risk_factor_whole_grains_2018,stunting_2000,stunting_2005,stunting_2010,stunting_2011,stunting_2012,stunting_2013,stunting_2014,stunting_2015,stunting_2016,stunting_2017,stunting_2018,stunting_2019,stunting_2020,wasting_2020
Central Asia,Cause,Cancer,Burden of malnutrition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15488,14522,15090,16723,11053,9355,9196,10536,3404,3540,3754,3991,,,,,,,,,3759,3959,4329,4595,1405,1497,1640,1754,330,459,603,634,198,306,371,410,,,,,88,95,103,110,4718,3458,3140,3595,5252,5552,6072,6458,4029,3072,2926,3718,,,,,,,,,,,,,,
Central Asia,Cause,CHD,Burden of malnutrition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101016,107113,107798,106753,88935,91924,92705,91885,12989,13912,13716,13484,25053,26237,24739,24063,22220,23826,23119,20680,25436,27687,27707,27581,11548,12816,12882,12751,18674,24563,29678,28367,7572,12181,14199,14324,2784,1783,2298,2515,543,588,598,578,26195,18470,15473,16628,37527,41091,41187,40910,20838,13435,11917,13877,,,,,,,,,,,,,,
Central Asia,Cause,Resp_Dis,Burden of malnutrition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1743,1284,1492,1666,,,,,,,,,,,,,,,,,1427,1055,1230,1364,-581,-432,-494,-555,,,,,,,,,,,,,897,661,757,858,,,,,1743,1284,1492,1666,,,,,,,,,,,,,,,,,,
Central Asia,Cause,Stroke,Burden of malnutrition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30306,31300,31973,32823,24058,25390,26234,26867,17923,17355,16917,17402,,,,,,,,,7430,7374,7391,7612,2047,2031,2023,2091,5806,7264,8520,8442,3031,4371,4944,5214,,,,,640,600,584,602,,,,,10117,10006,9998,10304,,,,,,,,,,,,,,,,,,
Central Asia,Cause,T2DM,Burden of malnutrition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3408,5238,7624,8651,1456,2494,4098,4579,,,,,,,,,,,,,2018,2992,4221,4821,742,1125,1570,1787,1005,1775,2966,3229,320,723,1247,1446,253,238,374,455,0,0,0,0,,,,,2759,4117,5791,6608,,,,,,,,,,,,,,,,,,
Central Asia,pregnancy,All women,Burden of malnutrition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.45,39.36,38.33,37.21,36.05,34.93,33.89,32.87,31.8,30.82,29.94,29.28,28.79,28.44,28.11,27.97,27.88,27.93,27.98,28.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Asia,pregnancy,Non-pregnant women,Burden of malnutrition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.49,39.36,38.32,37.15,35.97,34.81,33.77,32.66,31.53,30.56,29.63,28.96,28.46,28.06,27.8,27.62,27.53,27.58,27.68,27.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Asia,pregnancy,Pregnant women,Burden of malnutrition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.79,39.37,38.97,38.49,37.89,37.39,36.97,36.45,35.93,35.47,35.05,34.69,34.5,34.36,34.24,34.07,34.04,33.99,34,33.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Asia,sex,Both,Burden of malnutrition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6,10.8,9.5,9,8.5,7.9,7.4,6.9,6.5,6.2,6,5.8,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,22.3,17.1,16.2,15.4,14.5,13.6,12.8,12.1,11.4,10.9,10.4,10,2.3
Central Asia,sex,Boys,Burden of malnutrition,2.11,2.22,2.33,2.46,2.59,2.73,2.88,3.05,3.23,3.43,3.64,3.87,4.12,4.39,4.69,5.01,5.35,,9.17,9.5,9.84,10.21,10.58,10.98,11.39,11.83,12.28,12.76,13.26,13.79,14.35,14.94,15.56,16.21,16.89,,3.94,3.87,3.81,3.74,3.68,3.62,3.56,3.5,3.45,3.4,3.35,3.3,3.25,3.21,3.17,3.14,3.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Asia,sex,Boys Projection,Burden of malnutrition,,,,,,,,,,,,,,,,,5.35,6.41,,,,,,,,,,,,,,,,,16.89,18.99,,,,,,,,,,,,,,,,,3.11,3.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Asia,sex,Female,Burden of malnutrition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.55,25.44,25.33,25.22,25.11,25.02,24.92,24.84,24.77,24.7,24.64,24.59,24.55,24.52,24.5,24.49,,7.33,7.51,7.71,7.91,8.13,8.36,8.6,8.85,9.11,9.38,9.66,9.95,10.26,10.58,10.92,,12.81,13.14,13.49,13.84,14.22,14.6,15.01,15.42,15.86,16.31,16.77,17.25,17.75,18.27,18.8,19.34,19.9,,40.6,41.09,41.59,42.11,42.64,43.19,43.74,44.31,44.89,45.47,46.07,46.67,47.29,47.92,48.55,49.19,49.84,,5.43,5.34,5.25,5.16,5.07,4.98,4.89,4.81,4.72,4.63,4.55,4.47,4.39,4.31,4.23,4.15,4.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Asia,sex,Female Projection,Burden of malnutrition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.49,24.38,,,,,,,,,,,,,,,10.92,13.23,,,,,,,,,,,,,,,,,19.9,22.61,,,,,,,,,,,,,,,,,49.84,51.69,,,,,,,,,,,,,,,,,4.07,3.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Asia,sex,Girls,Burden of malnutrition,1.21,1.28,1.36,1.44,1.52,1.62,1.72,1.83,1.95,2.08,2.22,2.37,2.54,2.72,2.92,3.13,3.36,,11.64,11.9,12.18,12.46,12.74,13.04,13.34,13.65,13.97,14.31,14.66,15.03,15.41,15.81,16.23,16.67,17.13,,2.81,2.8,2.79,2.78,2.78,2.78,2.78,2.79,2.8,2.82,2.84,2.86,2.88,2.9,2.93,2.96,2.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Asia,sex,Girls Projection,Burden of malnutrition,,,,,,,,,,,,,,,,,3.36,4.1,,,,,,,,,,,,,,,,,17.13,18.54,,,,,,,,,,,,,,,,,2.99,3.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Asia,sex,Male,Burden of malnutrition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.77,27.68,27.6,27.53,27.47,27.44,27.41,27.41,27.42,27.43,27.45,27.46,27.5,27.55,27.6,27.65,,7.39,7.56,7.76,7.96,8.19,8.42,8.67,8.94,9.21,9.49,9.79,10.09,10.41,10.74,11.09,,8.83,9.11,9.41,9.72,10.04,10.38,10.73,11.1,11.48,11.88,12.29,12.72,13.17,13.64,14.12,14.62,15.15,,39.81,40.31,40.82,41.35,41.89,42.44,43.01,43.59,44.18,44.78,45.39,46.01,46.64,47.29,47.95,48.61,49.28,,3.41,3.32,3.24,3.15,3.07,2.99,2.91,2.84,2.76,2.69,2.62,2.55,2.48,2.41,2.35,2.29,2.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Asia,sex,Male Projection,Burden of malnutrition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.65,27.74,,,,,,,,,,,,,,,11.09,13.4,,,,,,,,,,,,,,,,,15.15,17.49,,,,,,,,,,,,,,,,,49.28,51.18,,,,,,,,,,,,,,,,,2.23,2.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Africa,all,,Burden of malnutrition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.1,15.91,15.69,15.47,15.24,15.02,14.81,14.61,14.41,14.23,14.07,13.92,13.79,13.65,13.53,13.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Africa,Cause,all-c,Burden of malnutrition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138911,166806,189296,210835,101498,122504,139425,156056,43452,49384,57914,63753,9159,11013,12727,13844,12157,13921,13734,16927,22007,27155,30615,34992,11777,14409,16433,18303,6804,8082,5715,6131,8941,11963,12455,13935,7184,11931,14241,16600,17691,20186,22474,23814,20398,23110,27829,30635,51475,61749,69522,77109,13060,16533,20110,23764,,,,,,,,,,,,,,
Eastern Africa,Cause,Cancer,Burden of malnutrition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26585,32841,39456,44832,20830,25353,30910,35046,7842,9490,11469,12969,,,,,,,,,3435,4411,5114,5971,2031,2575,3011,3414,142,208,165,191,210,318,348,416,,,,,1296,1641,1924,2123,9009,10344,12711,14073,6763,8627,10050,11508,5491,7260,8970,10539,,,,,,,,,,,,,,
Eastern Africa,Cause,CHD,Burden of malnutrition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48147,59080,66115,74360,42426,52035,58066,65513,7403,8777,10180,11291,9159,11013,12727,13844,12157,13921,13734,16927,6717,8292,9277,10626,4445,5432,6131,6830,2822,3401,2419,2583,3577,4811,4991,5585,4403,7116,8422,9773,1702,2119,2431,2627,11389,12766,15119,16562,12865,15844,17839,20083,7569,9273,11141,13225,,,,,,,,,,,,,,
Eastern Africa,Cause,Resp_Dis,Burden of malnutrition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9635,10502,11379,12005,,,,,,,,,,,,,,,,,989,1099,1177,1338,-670,-723,-780,-848,,,,,,,,,,,,,9317,10126,10981,11516,,,,,9635,10502,11379,12005,,,,,,,,,,,,,,,,,,
Eastern Africa,Cause,Stroke,Burden of malnutrition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40470,45872,51807,56435,32321,36204,40921,44578,28207,31118,36266,39493,,,,,,,,,4506,5285,5924,6710,2015,2316,2608,2863,2227,2463,1637,1750,3609,4663,4840,5377,,,,,5376,6299,7137,7549,,,,,11897,13901,15668,17121,,,,,,,,,,,,,,,,,,
Eastern Africa,Cause,T2DM,Burden of malnutrition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14074,18512,20539,23202,5572,8391,9018,10316,,,,,,,,,,,,,6359,8068,9123,10348,3956,4808,5463,6044,1612,2009,1494,1607,1545,2171,2276,2556,2781,4815,5819,6827,0,0,0,0,,,,,10316,12876,14587,16392,,,,,,,,,,,,,,,,,,
Eastern Africa,pregnancy,All women,Burden of malnutrition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.87,38.33,37.74,37.21,36.6,35.88,35.16,34.33,33.49,32.71,32.04,31.59,31.31,31.15,31.14,31.21,31.29,31.4,31.61,31.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Africa,pregnancy,Non-pregnant women,Burden of malnutrition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.2,37.62,37.04,36.46,35.84,35.12,34.37,33.54,32.7,31.91,31.28,30.79,30.54,30.4,30.4,30.52,30.66,30.78,30.99,31.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Africa,pregnancy,Pregnant women,Burden of malnutrition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.71,43.43,43.1,42.77,42.37,41.86,41.33,40.72,40.07,39.45,38.94,38.53,38.27,38.07,38,38,37.95,37.9,37.89,37.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Africa,sex,Both,Burden of malnutrition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,5.5,4.3,4.1,4,3.9,3.8,3.8,3.8,3.8,3.9,3.9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.1,45.2,40.8,39.8,38.9,38,37.1,36.2,35.5,34.7,34,33.3,32.6,5.2
Eastern Africa,sex,Boys,Burden of malnutrition,0.22,0.24,0.27,0.3,0.34,0.38,0.42,0.47,0.52,0.57,0.64,0.71,0.78,0.87,0.96,1.07,1.19,,2.3,2.46,2.63,2.81,2.99,3.19,3.39,3.6,3.83,4.06,4.31,4.58,4.86,5.16,5.48,5.82,6.19,,12.34,12.17,11.99,11.83,11.67,11.51,11.35,11.2,11.04,10.9,10.75,10.6,10.46,10.31,10.17,10.04,9.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Africa,sex,Boys Projection,Burden of malnutrition,,,,,,,,,,,,,,,,,1.19,1.64,,,,,,,,,,,,,,,,,6.19,7.48,,,,,,,,,,,,,,,,,9.91,9.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
